sample,prediction,p_left_raw,p_right_raw,name,score_total,mean_score,n_preds
14975,left_hand,0.7961951494216919,0.2038048356771469,ScorePonderado,-3.562708832323551,0.7125417664647102,5
15039,left_hand,0.7086701393127441,0.2913298010826111,ScorePonderado,-3.3119432404637337,0.6623886480927468,5
15103,left_hand,0.47634539008140564,0.5236546397209167,ScorePonderado,-2.5038607493042946,0.5196958497166634,5
15167,left_hand,0.35244181752204895,0.6475581526756287,ScorePonderado,-1.392000898718834,0.41537041366100313,5
15231,right_hand,0.06005251035094261,0.9399474263191223,ScorePonderado,0.21258984878659248,0.4464102305471897,5
15295,right_hand,0.0528385303914547,0.9471614956855774,ScorePonderado,1.6993031278252602,0.5067967608571052,5
15359,right_hand,0.04973987117409706,0.9502601623535156,ScorePonderado,3.017163757234812,0.6034327514469624,5
15423,right_hand,0.054860811680555344,0.9451391696929932,ScorePonderado,3.8601328656077385,0.7720265731215477,5
15487,right_hand,0.0384707897901535,0.9615292549133301,ScorePonderado,4.488074995577335,0.897614999115467,5
15551,right_hand,0.06445902585983276,0.935541033744812,ScorePonderado,4.479262087494135,0.8958524174988269,5
15615,right_hand,0.15085290372371674,0.8491471409797668,ScorePonderado,4.283233359456062,0.8566466718912125,5
15679,right_hand,0.2814926207065582,0.7185073494911194,ScorePonderado,3.819727797061205,0.763945559412241,5
15743,right_hand,0.2857000231742859,0.7143000364303589,ScorePonderado,3.35804945230484,0.671609890460968,5
15807,right_hand,0.19503530859947205,0.8049647212028503,ScorePonderado,3.044920399785042,0.6089840799570083,5
15871,right_hand,0.19244781136512756,0.80755215883255,ScorePonderado,2.788942739367485,0.557788547873497,5
15935,right_hand,0.362199604511261,0.637800395488739,ScorePonderado,2.366249293088913,0.47324985861778257,5
15999,right_hand,0.39147740602493286,0.6085225939750671,ScorePonderado,2.146279752254486,0.4292559504508972,5
16063,right_hand,0.3514727056026459,0.6485272645950317,ScorePonderado,2.014734297990799,0.4029468595981598,5
16127,right_hand,0.40849193930625916,0.5915080904960632,ScorePonderado,1.5878210365772247,0.31756420731544494,5
16191,right_hand,0.46734046936035156,0.5326595306396484,ScorePonderado,1.0380357503890991,0.20760715007781982,5
16255,right_hand,0.5632147789001465,0.43678519129753113,ScorePonderado,0.6360053718090057,0.1777729094028473,5
16319,right_hand,0.5843148827552795,0.41568514704704285,ScorePonderado,0.25033044815063477,0.16808981895446778,5
16383,left_hand,0.6268582940101624,0.37314173579216003,ScorePonderado,-0.3004406690597534,0.15942221879959106,5
16447,left_hand,0.6110691428184509,0.3889308571815491,ScorePonderado,-0.7055951058864594,0.16724664568901063,5
16511,left_hand,0.5457265973091125,0.45427337288856506,ScorePonderado,-0.8623673915863037,0.17247347831726073,5
16575,left_hand,0.503101110458374,0.496898889541626,ScorePonderado,-0.7421400249004364,0.1484280049800873,5
16639,left_hand,0.5438923835754395,0.45610764622688293,ScorePonderado,-0.6612950265407562,0.13225900530815124,5
16703,left_hand,0.5605500340461731,0.43944990634918213,ScorePonderado,-0.5286785960197449,0.10573571920394897,5
16767,left_hand,0.5708408355712891,0.42915916442871094,ScorePonderado,-0.44822198152542114,0.08964439630508422,5
16831,left_hand,0.45590266585350037,0.5440973043441772,ScorePonderado,-0.2685741186141968,0.0889926791191101,5
16895,right_hand,0.36799880862236023,0.6320011615753174,ScorePonderado,0.0016304552555084229,0.14055270552635193,5
