sample,prediction,p_left_raw,p_right_raw,name,mean_left,mean_right,n_preds
20479,left_hand,0.7930202484130859,0.20697978138923645,MediaProbabilidades,0.9055079221725464,0.09449208173900843,5
20543,left_hand,0.6634150147438049,0.3365849554538727,MediaProbabilidades,0.8409861087799072,0.1590138990432024,5
20607,left_hand,0.6245388984680176,0.37546104192733765,MediaProbabilidades,0.7709360718727112,0.22906392961740493,5
20671,left_hand,0.6654620170593262,0.33453798294067383,MediaProbabilidades,0.7137863397598266,0.2862136512994766,5
20735,left_hand,0.577037513256073,0.4229625165462494,MediaProbabilidades,0.6646947383880615,0.335305255651474,5
20799,left_hand,0.5848672986030579,0.4151327311992645,MediaProbabilidades,0.623064148426056,0.3769358456134796,5
20863,left_hand,0.34201356768608093,0.6579864025115967,MediaProbabilidades,0.5587838590145111,0.44121613502502444,5
20927,left_hand,0.3571746349334717,0.6428253650665283,MediaProbabilidades,0.505311006307602,0.49468899965286256,5
20991,right_hand,0.22256319224834442,0.7774367928504944,MediaProbabilidades,0.41673124134540557,0.5832687616348267,5
21055,right_hand,0.11447329819202423,0.885526716709137,MediaProbabilidades,0.3242183983325958,0.6757816016674042,5
21119,right_hand,0.06568204611539841,0.9343178868293762,MediaProbabilidades,0.22038134783506394,0.7796186327934265,5
21183,right_hand,0.06474591046571732,0.9352540969848633,MediaProbabilidades,0.16492781639099122,0.8350721716880798,5
21247,right_hand,0.14541688561439514,0.8545830845832825,MediaProbabilidades,0.1225762665271759,0.8774237155914306,5
21311,right_hand,0.3685314655303955,0.6314685940742493,MediaProbabilidades,0.15176992118358612,0.8482300758361816,5
21375,right_hand,0.5597057342529297,0.4402942657470703,MediaProbabilidades,0.2408164083957672,0.7591835856437683,5
21439,right_hand,0.6421629786491394,0.3578369915485382,MediaProbabilidades,0.3561125949025154,0.6438874065876007,5
21503,left_hand,0.7871943712234497,0.2128056436777115,MediaProbabilidades,0.5006022870540618,0.4993977159261703,5
21567,left_hand,0.6874127388000488,0.3125872313976288,MediaProbabilidades,0.6090014576911926,0.3909985452890396,5
21631,left_hand,0.6924210786819458,0.3075789511203766,MediaProbabilidades,0.6737793803215026,0.3262206166982651,5
21695,left_hand,0.707362711429596,0.29263731837272644,MediaProbabilidades,0.703310775756836,0.2966892272233963,5
21759,left_hand,0.7161334753036499,0.2838664948940277,MediaProbabilidades,0.718104875087738,0.2818951278924942,5
21823,left_hand,0.7808642983436584,0.21913568675518036,MediaProbabilidades,0.7168388605117798,0.28316113650798796,5
21887,left_hand,0.8175606727600098,0.182439386844635,MediaProbabilidades,0.742868447303772,0.2571315675973892,5
21951,left_hand,0.8505521416664124,0.14944787323474884,MediaProbabilidades,0.7744946599006652,0.22550535202026367,5
22015,left_hand,0.9133437275886536,0.08665629476308823,MediaProbabilidades,0.8156908631324769,0.18430914729833603,5
22079,left_hand,0.9616926312446594,0.03830742835998535,MediaProbabilidades,0.8648026943206787,0.13519733399152756,5
22143,left_hand,0.978367805480957,0.021632220596075058,MediaProbabilidades,0.9043033957481384,0.09569664075970649,5
22207,left_hand,0.9748942255973816,0.02510572038590908,MediaProbabilidades,0.9357701063156127,0.06422990746796131,5
22271,left_hand,0.9459987282752991,0.054001227021217346,MediaProbabilidades,0.9548594236373902,0.04514057822525501,5
