time,P8,O2,P4,C4,F8,F4,Oz,Cz,Fz,Pz,F3,O1,P7,C3,P3,F7,Accel_x,Accel_y,Accel_z,Digital,Battery
444258.871689401,177069.421875,178600.046875,176177.40625,202578.296875,180505.65625,198353.640625,175375.4375,171544.5,177641.5625,178705.5625,193892.328125,186204.078125,188272.671875,206407.859375,209725.4375,189627.625,9.867450714111328,0.15298375487327576,0.0,1.0,51.0
444258.8756871966,177067.0625,178608.4375,176162.296875,202583.59375,180488.0625,198357.34375,175377.3125,171528.265625,177623.296875,178700.59375,193897.0625,186207.796875,188277.859375,206413.078125,209730.78125,189632.203125,9.94394302368164,0.15298375487327576,0.03824593871831894,1.0,51.0
444258.8796849923,177062.265625,178628.375,176149.578125,202607.390625,180473.703125,198384.1875,175376.9375,171514.625,177608.609375,178707.140625,193925.59375,186219.875,188302.296875,206439.375,209757.828125,189656.1875,9.94394302368164,0.15298375487327576,0.03824593871831894,1.0,51.0
444258.8836827881,177061.84375,178632.875,176156.390625,202617.046875,180481.75,198397.203125,175375.03125,171522.265625,177617.21875,178716.1875,193938.203125,186224.46875,188312.390625,206450.90625,209769.125,189665.46875,9.94394302368164,0.15298375487327576,0.03824593871831894,1.0,51.0
444258.88768058416,177065.53125,178613.734375,176171.578125,202596.5625,180499.625,198376.046875,175371.78125,171538.359375,177635.765625,178713.375,193915.0625,186213.9375,188292.046875,206429.140625,209746.390625,189644.28125,9.94394302368164,0.15298375487327576,0.03824593871831894,1.0,51.0
444258.89167838026,177069.078125,178598.28125,176176.109375,202574.9375,180503.71875,198350.625,175374.1875,171542.625,177639.625,178703.28125,193888.78125,186204.484375,188270.15625,206405.140625,209721.71875,189621.75,9.94394302368164,0.15298375487327576,0.03824593871831894,1.0,51.0
444258.8956761765,177067.0625,178607.453125,176162.25,202581.140625,180486.71875,198355.59375,175377.203125,171527.703125,177622.109375,178698.890625,193894.609375,186209.109375,188276.25,206411.0,209728.0625,189628.09375,9.982189178466797,0.1912296712398529,0.07649187743663788,1.0,51.0
444258.89967397274,177063.21875,178629.1875,176150.890625,202606.890625,180474.71875,198384.453125,175377.984375,171515.203125,177609.28125,178707.203125,193924.859375,186222.6875,188302.0,206439.296875,209757.1875,189654.8125,9.982189178466797,0.1912296712398529,0.07649187743663788,1.0,51.0
444258.90367176913,177062.078125,178633.84375,176157.796875,202616.859375,180483.828125,198397.84375,175375.5,171522.296875,177617.953125,178715.78125,193937.53125,186226.984375,188312.09375,206451.734375,209769.15625,189665.703125,9.982189178466797,0.1912296712398529,0.07649187743663788,1.0,51.0
444258.9076695656,177065.96875,178615.265625,176173.515625,202597.0,180501.140625,198377.28125,175373.953125,171539.90625,177636.796875,178712.765625,193914.71875,186216.3125,188292.171875,206431.046875,209747.375,189645.890625,9.982189178466797,0.1912296712398529,0.07649187743663788,1.0,51.0
444258.9116673621,177069.109375,178598.84375,176177.28125,202574.671875,180503.21875,198350.96875,175375.296875,171544.0,177640.71875,178702.4375,193887.640625,186205.6875,188269.140625,206406.3125,209722.21875,189622.6875,9.982189178466797,0.1912296712398529,0.07649187743663788,1.0,51.0
444258.9156651587,177067.375,178608.0,176163.390625,202580.578125,180486.546875,198355.359375,175378.34375,171529.3125,177623.625,178699.65625,193893.703125,186209.84375,188274.640625,206412.078125,209728.5,189628.15625,9.905696868896484,0.22947563230991364,0.03824593871831894,1.0,51.0
444258.91966295545,177063.015625,178628.921875,176151.328125,202605.1875,180474.375,198383.390625,175378.1875,171515.796875,177609.8125,178707.34375,193923.140625,186222.625,188299.75,206439.765625,209757.0625,189654.140625,9.905696868896484,0.22947563230991364,0.03824593871831894,1.0,51.0
444258.9236607522,177061.609375,178631.796875,176155.953125,202613.265625,180482.359375,198394.984375,175374.296875,171520.59375,177616.390625,178713.515625,193934.203125,186225.578125,188308.46875,206450.359375,209767.984375,189664.125,9.905696868896484,0.22947563230991364,0.03824593871831894,1.0,51.0
